id,T
As I Lay Dying,book
William Faulkner,author
Delphine Lettau,individual
Cindy Beyer,individual
Distributed Proofreaders Canada team,group
Canada,location
FP administrator,charachter
HAL SMITH,charachter
DARL,charachter
JEWEL,charachter
Vernon,charachter
Cash,charachter
Eula,charachter
Kate,charachter
Pa,charachter
CORA,charachter
DEWEY DELL,charachter
TULL,charachter
Addie Bundren,charachter
Peabody,charachter
Vardaman,charachter
Anse Bundren,charachter
Whitfield,charachter
Armstid,charachter
Quick,charachter
Uncle Billy,charachter
Houston,charachter
Littlejohn,charachter
Doc,charachter
house,location
door,object
hats,object
chews,object
steps,location
song,event
voices,charachter
Whitfield's Voice,charachter
Ford,location
mud,object
Somebody in the house,charachter
Cora,charachter
third day,event
Dar and Jewel,charachter
new wheel,object
wagon,object
ditch,location
Samson's bridge,location
Slough,location
fish,object
Dewey Dell,charachter
marbles,object
Valley,location
barn,location
horse,object
buzzards,charachter
clouds,object
loft,location
Darl's mother,charachter
tolling bell,object
path,location
hill,location
wagon-bed,object
Santa Claus,charachter
glass,object
basket,object
dinner,object
Christmas,event
wheel,object
log,object
rope,object
water,object
Anse,charachter
Darl,charachter
School,location
spring,location
farm,location
Jefferson,location
individuals,group
vomit,object
switch,object
blade,object
cradle,object
land,location
field,location
talk,event
Moseley,charachter
Texas,location
medicine,object
cash's broken leg,object
package,object
screen door,object
rifle,object
prescription case,object
package wrapped in newspaper,object
toilet things,object
female dope,object
gingham dress,object
straw hat,object
Seventeen,object
I,charachter
She,charachter
eyes,object
age,concept
world,location
store,location
nipple,object
wedding licence,object
money,object
Lafe,charachter
drug-store,location
Lord,charachter
man,charachter
devil,charachter
ten dollars,object
precious Lafe,charachter
Albert,charachter
Grummet’s hardware store,location
ladies,charachter
crowd,group
men,group
boys,group
public street,location
hard-nosed men,charachter
marshal,charachter
fellow,charachter
bridge,location
Yoknapatawpha county,location
cheese,object
ant-hill,location
rotten cheese,object
supper,event
smell,object
wardrobe,object
faith,concept
tin can,object
CASH,charachter
sawdust,object
legs,object
father,charachter
boy,charachter
sand,object
lives,object
gestures,object
dolls,object
sunset,event
echoes,object
compulsions,object
arguments,event
Albert's tale,event
branch,location
splints,object
cement,object
paper,object
time,concept
Jewel,charachter
brother,concept
sun,object
moonlight,object
cat,charachter
mother,charachter
breeze,object
apple tree,location
sweat,object
Dewey Dell's dress,object
sleep,event
ear,object
God,charachter
woods,location
Dewey Dell's Voice,charachter
Ford's Voice,charachter
Vardaman's Voice,charachter
Grummet's hardware store,location
Marshal,charachter
Son of a bitches,charachter
Darl's Voice,charachter
fire,object
beads,object
shoes,object
stockings,object
knife,object
Sunday dress,object
newspaper,object
wheels,object
clock,object
cabin,location
negroes,group
town,location
smoke,object
trees,location
guards,charachter
event,event
bushe,location
Gillespie,charachter
Mrs. Bundren,charachter
Suratt,charachter
Varner,charachter
mules,charachter
street,location
monument,object
court-house,location
lane,location
yard,location
hardware store,location
gate,location
CASH's broken leg,object
spade,object
shovel,object
music,event
graphophone,object
horses,charachter
PEABODY,charachter
MACGOWAN,charachter
lord,charachter
Peabody's laughter,event
laughing,event
concrete,object
sawmill,location
memphis,location
Barbers’ Convention,event
chocolate sauce,object
Jody,charachter
country woman,charachter
alford's office,location
apron,object
Skeet,charachter
doctor,charachter
calomel,object
trouble,concept
treatment,concept
dysentery,concept
graduated glass,object
operation,event
hair of the dog,object
capsules,object
stores,location
moon,object
soda-water,object
cows,charachter
banana,object
lock,object
crazy,concept
train,object
cow,charachter
