S,T,R,ST,W
George Orwell,Animal Farm,wrote,neutral,0.7
Mr. Jones,hen-houses,locked,neutral,0.3
Mr. Jones,pop-holes,forgot to shut,negative,0.3
Mr. Jones,hen-houses,locked,neutral,0.3
Mr. Jones,beer,drew himself a glass of,neutral,0.3
Mr. Jones,bed,made his way up to,neutral,0.3
Mr. Jones,scullery,barrel in,neutral,0.3
Mrs. Jones,snoring,was already,neutral,0.3
animals,old Major,wanted to communicate,positive,0.7
old Major,strange dream,had,neutral,0.7
animals,big barn,meeting in,neutral,0.7
old Major,animals,highly regarded by,positive,0.7
dogs,Bluebell,came first,neutral,0.5
dogs,Jessie,came after,neutral,0.5
dogs,Pincher,came after,neutral,0.5
pigs,settled down,immediately in front of the platform,neutral,0.5
hens,perched,on the window-sills,neutral,0.5
pigeons,fluttered up,to the rafters,neutral,0.5
sheep and cows,lay down,behind the pigs,neutral,0.5
cart-horses,Boxer and Clover,came in together,neutral,0.5
Muriel,white goat,came in,neutral,0.5
Benjamin,donkey,came in,neutral,0.5
Moses,tame raven,was asleep on a perch,neutral,0.5
Old Major,animals,speak to,positive,0.7
animals,strange dream,heard about,neutral,0.5
Old Major,wisdom,wished to pass on,positive,0.7
animals,labour,produce stolen from,negative,0.7
man,enemy,is the only real enemy,negative,0.7
man,consumes,without producing,negative,0.7
man,gives back,the bare minimum,negative,0.7
man,sets animals to work,gives back to them the bare minimum,negative,0.7
man,interests,prosperity of the one is the prosperity of the others,negative,0.7
animals,unity,let there be,positive,0.7
animals,comradeship,perfect comradeship,positive,0.7
man,tyranny,the root cause of hunger and overwork,negative,0.7
Old Major,Rebellion,message to,positive,0.7
man,enemy,only get rid of,negative,0.7
animals,justice,sooner or later justice will be done,positive,0.7
Old Major,dream,told animals about,neutral,0.5
animals,dream,described by,neutral,0.5
animals,song,sung by long gone animals,positive,0.7
lying pigs,ravens,crept out,neutral,0.5
dogs,rats,suddenly caught sight of,negative,0.7
old Major,resetted his trotter,for silence,neutral,0.5
old Major,wild creatures,put the question if they are comrades or enemies,neutral,0.7
old Major,ways of man,duty of enmity towards,negative,0.7
Old Major,dream,resembled,neutral,0.5
