id,T
JEWEL,charachter
God,concept
house,location
box,object
fertilizer,object
flowers,object
bread-pan,object
dung,object
buzzards,charachter
air,object
fan,object
hands,object
quilt,object
DARL,charachter
pa,charachter
Vernon,charachter
shirt,object
sweat stain,object
sun,concept
time,concept
family burying-ground,location
Jefferson,location
rain,concept
rivers,location
Loan,concept
team,object
wagon,object
VALLEY of lafe,location
land,location
neighbours,charachter
DEWEY DELL,charachter
Lafe,charachter
row,location
sack,object
woods,location
CORA,charachter
VARDAMAN,charachter
KATE,charachter
EULA,charachter
Cash,charachter
Addie,charachter
Peabody,charachter
ANSE,charachter
Anse,charachter
Vardaman,charachter
Dewey Dell,charachter
Addie Bundren,charachter
Vernon Tull,charachter
saw,object
dusk,concept
floor,location
boys,charachter
bed,object
face,object
darkness,concept
earth,location
Christians,charachter
sorrow,concept
light,concept
expression,concept
listening,concept
waiting,concept
supper,concept
Doctor Peabody,charachter
foliage,object
barn,location
porch,location
fish,object
overalls,object
trees,object
bedroom,location
circus,location
stick,object
buggy,object
road,location
cow,object
breath,concept
butter,object
pan,object
dishes,object
lamp,object
kitchen,location
buttermilk,object
hatch,object
hill,location
table,object
print,object
hat,object
train,object
bananas,object
town,location
flour,object
sugar,object
coffee,object
rabbits,object
possums,object
shadow,object
Suffer little children to come unto Me,concept
Cora,charachter
afflictions,concept
sin,concept
judgment,concept
judgment on Anse Bundren,concept
Darl,charachter
lantern,object
trestles,object
boards,object
Lord,concept
Quick,charachter
Uncle Billy,charachter
Littlejohn,charachter
Armstid,charachter
Whitfield,charachter
Houston,charachter
shirts,object
horse,object
valley,location
cotton,object
corn,object
river,location
Samson's bridge,location
Slough,location
helmet,object
clouds,object
path,location
umbrella,object
samson,charachter
MacCallum,charachter
Rafe,charachter
Bundren,charachter
Rachel,charachter
Jewel,charachter
new hope,location
womb of time,concept
New Hope,location
Buzzards,charachter
Cow,object
field,location
rice,object
tin roof,object
Lane,location
Barn,location
log,object
levee,location
Circus,location
water,object
tangle of yellow,object
planks,object
logs,object
jam,object
foam,object
quick sand,object
horse-back,object
shade,object
jaws,object
knife,object
milk,object
bucket,object
cows,object
plate,object
bread,object
mule,object
hole,object
ma,charachter
door,object
Mrs. Tull,charachter
quicksand,object
ford,location
bridge,object
rope,object
mules,object
addie,charachter
current,concept
hand of God,concept
hammer,object
chalk-line,object
plane,object
Pa,charachter
CASH,charachter
gal,charachter
Snopes,charachter
Lula,charachter
Eustace Grimm,charachter
tools,object
buzzard,charachter
breeze,object
sight,concept
law,concept
trade,concept
Mottson,location
pallet,object
basket,object
fellow,charachter
Grimm,charachter
postal card,object
Christmas,concept
Eustace,charachter
Texas,location
Mr. Snopes,charachter
MOSELEY,charachter
Albert,charachter
sand,object
branch,location
cement,object
splints,object
leg,object
paper,object
package,object
questioning look,concept
profound questioning look,concept
sky,location
red,concept
track,object
glass,object
night,concept
car,object
horses,object
son,concept
apple tree,location
moonlight,concept
flanks,object
mother,charachter
father,charachter
heat,concept
cat,charachter
bitch,object
ear,object
life,concept
sight of man,concept
wood,location
nobody,concept
Samson,charachter
Santa Claus,charachter
Dewey Dell and VARDAMAN,charachter
Mr. Gillespie’s boy,charachter
Shack,location
ANOUSH,charachter
GUBOUR,charachter
MULEY,charachter
MULE,object
school yard,location
Dewey DELL and VARDAMAN,charachter
Moseley,charachter
CHUCK,charachter
BOY,charachter
GILLESPIE,charachter
GILLESPIEVA,charachter
towel,object
wagon works,location
dark,concept
Maiden,charachter
temple,object
william,charachter
MARGO,charachter
HUNTER,charachter
Mother,charachter
BLANCHE,charachter
Byron,charachter
. . .,charachter
whistle,object
TWINS,charachter
coatinshirtsleeves,charachter
Ponya,charachter
Berry,concept
sweat,concept
Mr. Gillespie,charachter
Pa ,charachter
Apple tree,location
Moonlight,concept
Train,object
Town,location
Hill,location
Wagon,object
Road,location
Skeet,charachter
prescription case,object
doctor,concept
calomel,object
business,concept
water-jointed doctors,charachter
Old Doctors’ Home,location
drug-store,location
dysentery,concept
talcum powder,object
store,location
treatment,concept
capsules,object
clock,object
stores,location
court-house,location
moon,object
window,object
boy in overalls,charachter
treatments,concept
cellar,location
square,location
banana,object
bag,object
ground,location
head,object
Jackson,location
Banana,object
hotel,location
cage,object
money,object
shovels,object
graphophone,object
barber-shop,location
