id,T
George Orwell,author
Mr. Jones,character
Mrs. Jones,character
Old Major,character
Bluebell,animal
Jessie,animal
Pincher,animal
Boxer,animal
Clover,animal
Muriel,animal
Benjamin,animal
Moses,animal
Mollie,animal
cats,animal
dogs,animal
rats,animal
ravens,animal
Snowball,character
Napoleon,character
Squealer,character
Queen Victoria,character
Mr. Pilkington,character
Mr. Frederick,character
Major,animal
Jones,character
Whymper,character
Seven Commandments,concept
windmill,object
herbs,object
